title,content,dish_name,image,restaurant_name,address
好辣,香辣可口，开胃过瘾,小米辣炒鸡胗,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722392.jpg,学一食堂,川味窗口,
好恰,鲜嫩多汁，微辣回甜,纽奥烤鸡腿,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722395.jpg,学二食堂,特色菜窗口,
香脆,孜香微辣，外焦里嫩,孜然烤鸭腿,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722396.jpg,学二食堂,特色菜窗口,
首选,低脂健康，营养均衡,秘制鸡胸肉能量饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722398.jpg,学三食堂,披萨窗口,
经常吃,麻辣鲜香，口味独特,藤椒鸡煲,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722400.jpg,学三食堂,藤椒鸡煲窗口,
好吃好吃,香气四溢，油而不腻,过油肉拌面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722402.jpg,学三食堂,不止一面窗口,
香辣爽口,营养丰富，色味俱佳,韩式经典肥牛拌饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722404.jpg,学三食堂 ,石锅饭窗口,
清淡好吃,汤味浓郁，齿过留香,番茄牛腩煲,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722406.jpg,学四食堂,鱼米之乡窗口,
脆香可口,微辣孜然，回味酸甜,鸡架骨拌面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722408.jpg,学四食堂 ,重庆小面窗口,
鲜鲜鲜,咸鲜可口，蒜香入味,蒜蓉虾,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722411.jpg,学四食堂,营养套餐窗口,
常吃,麻辣鲜香，香辣入味,冒烤鸭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722416.jpg,学四食堂,老北京烤鸭窗口,
性价比高,清淡鲜香，味美可口,金汤豆花鱼,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722417.jpg,学四食堂,鸡腿饭窗口,
适合中午吃,咸鲜可口，唇齿留香,美味双拼饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722420.jpg,学四食堂,食过飘香窗口,
好香,酱香浓郁，肥而不腻,把子肉套餐,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722422.jpg,学五食堂,卤肉饭窗口,
清淡好吃,口味鲜美，滋补养颜,焖猪蹄套餐,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722425.jpg,学五食堂,卤肉饭窗口,
清淡好吃,香味浓郁，酥烂可口,咖喱牛肉套餐,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722428.jpg,学五食堂,卤肉饭窗口,
有嚼劲,皮薄馅厚，馅鲜多汁,牛肉大葱馅饼,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722430.jpg,学六食堂,粥饼窗口,
好脆,外脆内嫩，奶香十足,炸椰奶,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722432.jpg,学六食堂,汉堡窗口,
真香,低脂不腻，色香俱全,瓦香鸭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722434.jpg,学六食堂,闽南浇汁饭窗口,
好吃谁懂,色泽红亮，酸甜鲜辣，口味鲜美,宫爆脆溜虾,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722435.jpg,学一食堂,合一楼四层南侧,
微辣,口感酥脆，鲜香美味,孜然三宝,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722439.jpg,学一食堂,合一楼四层南侧,
快去尝,外酥内嫩，造型独特，口感极佳,避风塘狼牙土豆,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722442.jpg,学一食堂,合一楼四层南侧,
好香,口感鲜香，肉质细嫩,锡纸羊肉,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722443.jpg,学一食堂,合一楼四层南侧,
有味,肉质鲜嫩，口感醇厚,风味鸭腿,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722445.jpg,学一食堂,合一楼四层北侧,
下饭,羊肉、牛肉、鸡肉、鱼丸、虾丸、蟹棒及各种蔬菜随心搭配，经过猪骨棒熬汤烹调，美味可口，营养丰富，还可按个人口味加入不同小料，清淡、微辣、麻辣多种口味自由调制，怎么吃都不腻,烩菜,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722447.jpg,合一厅,合一楼四层南侧,
脆脆脆,麻辣入味，口感鲜美，越嚼越香,小鱼恋河虾,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722449.jpg,学二食堂,教工食堂7号窗口,
经常吃,麻辣入味，口感鲜美，越嚼越香,口水鸡胗,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722449.jpg,学二食堂,教工食堂今雨轩,
分量有点少,微辣爽口，鲜香甘醇，好吃不胖,回锅牛肉盖饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722455.jpg,学二食堂,教工食堂今雨轩,
一楼最美味,真香，滑而不腻,肉夹馍,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722457.jpg,东区第一食堂,一层左侧,
早餐常吃,清香开胃,皮蛋瘦肉粥,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722458.jpg,东区第一食堂,三层,
有营养,外皮酥脆，肥而不腻的肉夹馍，口感软糯，绵香丝滑的皮蛋瘦肉粥，温润可口、香甜软糯的燕麦粥，美好的一天从早餐开始！,牛奶燕麦粥,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722461.jpg,东区第一食堂, 早餐窗口,
真手抓吗111,口感饱满，米香四溢,手抓饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722462.jpg,东区第一食堂,炒饭窗口,
色香味俱全,让人垂涎欲滴的麻辣浇汁饭，鸡排腿、五花肉、琵琶腿...浇上浓郁的汤汁，配上香喷喷的米饭，一口下去超满足,烧汁饭系列,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722465.jpg,鼓瑟轩,湖南窗口,
常吃,鸡蛋和各种配菜在铁板上翻滚炒制，米饭粒粒分明，烟火气十足,铁板系列,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722467.jpg,鼓瑟轩,东北窗口,
晚饭吃,肉质鲜嫩紧实，色泽红亮，麻香味美,秘制扇子骨套餐,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722471.jpg,西区第一食堂,一层9号窗口,
好吃好吃,清淡鲜香，营养低脂,养生虾球套餐,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722473.jpg,西区第一食堂,一层9号窗口,
也好吃,口感鲜嫩爽滑，豉香浓郁,豉香巴沙鱼套餐,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722474.jpg,西区第一食堂,一层9号窗口,
清淡有嚼劲,一层9号窗口,一层9号窗口,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722476.jpg,西区第二食堂,一层9号窗口,
韩式系列,肉香四溢，入口即化, 热卤系列,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722478.jpg,西区第一食堂,韩式风味窗口,
有营养,"口感鲜滑，味美脆爽
",茶树菇牛肉,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722480.jpg,西区第二食堂,成都盖饭窗口,
学院路也有,色泽红亮，辣而不燥，麻而不腻,招牌馋嘴鱼,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722482.jpg,西区第三食堂,馋嘴鱼窗口,
北方特色,烙好的薄饼卷入香而微辣的牛肉，配上嫩嫩的生菜，低脂高营养,香辣牛肉千张,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722485.jpg,西区第三食堂,零点厨房窗口,
下次再来,米饭软糯，腊肠Q弹，味道浓郁，口感丰富,铁板腊肠饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722486.jpg,西区第三食堂,铁板窗口,
四川特色,醇香的苕皮搭配嫩滑的鸡柳，营养美味,四川烤苕皮加鸡柳,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722488.jpg,西区第三食堂,水煮肉片窗口,
香,筋道的面条具有独特的韧性和嚼劲，让人回味无穷,板面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722491.jpg,西区第三食堂,馋嘴鱼窗口,
好香,醇厚的香芋、鲜美的海苔、咸香的肉松与年糕的甜美相互融合、口感Q弹,沙拉年糕串,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722493.jpg,西区第三食堂,水煮肉片窗口,
吃得很饱,米饭软糯可口，肉质鲜美嫩滑，口感丰富，层次分明,全家福香肉拌饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722496.jpg,西区第三食堂,闫阿妈香肉拌饭窗口,
香味浓郁,肉味香醇厚，面条滑爽劲道，搭配微酸开胃的浇头，好吃到舔盘,过油肉拌面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722498.jpg,西区清真食堂,3号窗口,
羊排饭好吃,羊排汁水饱满，鲜香微辣，吸满汤汁的米饭粒粒入味，超级香,秘制羊排饭套餐,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722500.jpg,西区清真食堂,10号窗口,
有特色,虾仁鲜美嫩滑，低卡高蛋白，营养丰富又满足味蕾, 虾仁拌饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722502.jpg,西区清真食堂,5号窗口,
常吃,香辣可口,羊肉炒面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-d2b916eed7bbdfef995861e76b3a1826_b.jpg,学一食堂,二楼右侧,
经常吃,性价比高，常吃不腻,鸡排饭 ,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-7fcd9b1871d4ec10e813aeec5d36dc8a_b.jpg,学一食堂,二楼右侧,
好吃,好吃不腻,炸鸡腿饭 ,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-c684cecb073556f194eaa52ee4ac8427_b.jpg,学一食堂,二楼右侧,
猜猜我经常吃什么,性价比巨高,碗盘饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-8f23b3ce90462b9321b2fa6fb36b5ae3_b.jpg,学一食堂,二楼右侧,
很香,香而不弹，滑而不腻,拌面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-d96d731bbe669b7e84b3251056a79413_b.jpg,学一食堂,二楼右侧,
香！,好香，一直都在吃,铁板烧,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-57eb3256becd051ededd6ced65122aea_b.jpg,学一食堂,二楼右侧,
从沙河吃到学院路,常吃，感觉很棒,香锅 ,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-ad895e9955dabb61c6a188f70ec27e78_b.jpg,学一食堂,二楼右侧,
顶！,有时可能很多人排队，尽量去早一点,二楼自助小火锅,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-2902ecb1c0494444aed424c4f00c0d27_b.jpg,学一食堂,二楼右侧,
好吃,太烫了有点,招聘鱼粉 ,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-2a1b97c98ac3cd9d3e128b3883c871c9_b.jpg,学一食堂,二楼右侧,
好吃,太烫了有点,招聘鱼粉 ,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-e2c98f82e6edfd7a3720a44c4fb1d8f6_b.jpg,学一食堂,二楼右侧,
开胃,有点小辣,西红柿牛腩面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-214038fe467d88a4d51a231cbb4c0c77_b.jpg,学一食堂,三楼左侧,
京味,北京特色,烤鸭 ,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-ced340c74db9faa788b3bfb4caea4c1c_b.jpg,学一食堂,三楼左侧,
口味独特,种类齐全、丰富,香锅,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-075c90aa54978c0880ce6ba59f166255_b.jpg,学一食堂,三楼左侧,
感觉一般般,赶时间需要,营养快餐,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-8030af0757ca1279bf0b02a9e88d48d3_b.jpg,学一食堂,三楼左侧,
加蛋,还可以，而且不贵,牛肉拉面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-3342f8966f1d834e6a8c3c99eefc8ebd_b.jpg,学一食堂,三楼左侧,
经常吃,香辣可口,大盘鸡拌面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-7a5d070bbc6175c4e76b72136d87fa29_b.jpg,学一食堂,三楼左侧,
好吃的,好吃的,biangbiang面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-fb6c453a08751d3b051bcdfc14bd31a1_b.jpg,学一食堂,三楼左侧,
开胃,口味独特，香辣可口,鱼豆腐焖锅,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-27fbf269f8438f71a97cd5a0e861e859_b.jpg,学一食堂,三楼左侧,
常吃,口味独特,饺子,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-82ca3a9e1d748f76b774a8f76ce4c82c_r.jpg,学一食堂,三楼左侧,
晚饭常吃,香辣可口,牛肉拌面 ,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-f6a5af2f10d1180a83dfcef21c0b7ffe_b.jpg,学一食堂,三楼左侧,
香！,菜品很好，划算,黄焖鸡,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-f55e5dfcb94abace71d10b27a62498a1_b.jpg,学一食堂,三楼左侧,
有特色,有特色，吃得很饱,咖喱鸡肉饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-caddba9596e088de29c6401f72fc623f_b.jpg,学一食堂,三楼左侧,
不常有,如题,孜然里脊饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-6aa749385f0db82039b43809fc812a90_b.jpg,学一食堂,三楼左侧,
下饭,这个好吃,肉沫蛋包饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-234277e40cbda6d36de1ccba95f3f618_b.jpg,学一食堂,三楼左侧,
好吃好吃,这个也好吃,蛋包饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-da12206dc6e09c8560c30e6ef18e1040_b.jpg,学一食堂,三楼左侧,
吃！,看着就很有胃口,鸡腿泡菜饭 ,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-de55e632351355d8afa5c8260c5dafe4_b.jpg,学一食堂,三楼左侧,
吃！,性价比很高,混沌,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-76c24b6a91dd5820c19e62ccdd6b70ae_1440w.webp,学二食堂,一层,
早餐常吃,营养早餐每一天,两鸡蛋一烧麦,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-1d0cd22a3f42fa1801a518ed6bd6380c_1440w.webp,学二食堂,一层,
11元，不要错过,香辣可口,套餐,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-804fd54394acf62fd7a8d0bb953ee331_1440w.webp,学二食堂,一层,
早餐,不错，很实惠,五元早餐,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-54e07ef2a0d46c3b749da31d3ea9b529_1440w.webp,学二食堂,一层,
好吃,清淡可口,排骨面 ,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-c1a1dbf0cf6c2d8f23bb3be10a38a72e_1440w.webp,学二食堂,一层,
好恰,爱来自兄弟学校,南航美食行,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-bc4aee329d3df0b05d2200412b69cbab_1440w.webp,学二食堂,一层,
常吃,实惠可口,自选土豆鸡块和蒸蛋,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-649c2459dc567c2a845bb02c30bcadd5_1440w.webp,学二食堂,一层,
避雷,鸡胸肉一如既往的难吃，下次再试试其他类型,鸡胸肉健身餐,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-c8bb25fe1cbe92503a9fdeabf354f003_1440w.webp,学二食堂,二层教工餐厅,
香！,肉吃起来很爽，骨头上的肉就有点吃不到了,大碗胯肉,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-69437931efedbcd4cbdb1d3d071e3314_1440w.webp,学二食堂,二层教工餐厅,
有点健身在里面,烤鱼很不错，玉米也好吃,烤鱼健身餐,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-1c232e3513651ed57db79484a8325374_1440w.webp,学二食堂,二层教工餐厅,
好好好,看孙子兵法，悟启强人生,猪脚面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-099d2787b7f19c06074fd9acdc95118c_1440w.webp,学二食堂,二层教工餐厅,
不推荐,中看不中吃,鱿鱼盖饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-88cd691c430ae752b96b2391bb722003_1440w.webp,学二食堂,二层教工餐厅,
不推荐,中看不中吃，就上面是一层鱼片，下面都是豆芽菜,水煮鱼片,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-6e44df7ecb458eb1770073d48a0d6e2b_1440w.webp,学二食堂,二层教工餐厅,
no,总计18元，还不如鸡腿吃的爽,单小龙虾,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-7dedd2ea515b3f65a6d034a29b37777b_1440w.webp,学二食堂,二层教工餐厅,
还行,大鸡腿10元挺好吃,大鸡腿,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-35c1604c241e88f6d81047e60027889c_1440w.webp,学二食堂,二层教工餐厅,
安利！,我最喜欢的组合，好吃的一批,大鸡腿加茄子,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-833daa6959c786e40d016cdbfa9825c4_1440w.webp,学二食堂,二层教工餐厅,
健身必备,最喜欢组合加一，最近健身 吃牛肉更多点,西红柿牛腩加素菜,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-272d65ab9c421e88178f2c496dd31c2d_1440w.webp,学二食堂,二层教工餐厅,
鸡肋,就……很难评,大鸡腿加豆芽,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-a349f011ea8d19a18e9a382724d241be_1440w.webp,学二食堂,二层教工餐厅,
常吃！,分量足，好吃！,小酥肉拌面,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-069286209239945d1bdb082f64de6105_1440w.webp,学三食堂,新北负一层,
吃！,面有嚼劲，很好吃,香辣牛肉面 ,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-d539bd8bd6865ce665af626c7cd47097_1440w.webp,学三食堂,新北负一层,
开吃！,虽然有点贵，但是新北地下永远的神！,烤盘饭,https://pigkiller-011955-1319328397.cos.ap-beijing.myqcloud.com/1722v2-3f43ad095a8e3dd28c0da7ed467dc413_1440w.webp,学三食堂,新北负一层,
